INST NAME,TYPE,ADDRESS,Return to Local,STATIC IP ADDRESS,,Addresses,169.254.70.'''
OVEN,Temp Plate,TCPIP0::169.254.70.190::502::SOCKET,0,169.254.70.190,,Power Supplies,130 -139
NFA,NFA,GPIB0::5::INSTR,1,,,Spectrum Analyzers,120-129
DMM1,DMM,GPIB0::7::INSTR,1,,,Sig Gens,100-109
DMM2,DMM,GPIB0::8::INSTR,1,,,Misc,180-199
DMM3,DMM,GPIB0::9::INSTR,1,,,,
PS1,PowerSupply,TCPIP0::169.254.70.130::inst0::INSTR,0,169.254.70.130,,,
PS2,PowerSupply,GPIB0::11::INSTR,1,,,,
PS3,PowerSupply,GPIB0::12::INSTR,1,,,,
SpectrumAnalyzer,SpectrumAnalyzer,TCPIP0::K-N9010B-70396::hislip0::INSTR,0,169.254.70.120,,,
SigGen1,SigGen,TCPIP0::A-N5182B-052670::hislip0::INSTR,0,169.254.70.100,,,
SigGen2,SigGen,GPIB0::19::INSTR,1,,,,
SigGen3,SigGen,GPIB0::20::INSTR,1,,,,
VNA,VNA,GPIB0::16::INSTR,1,,,,
USBSigGen1,SigGen,22077,0,,,,
TempSense1,Temp Sensor,USB-TC01,0,,,,
VNA,PNA,TCPIP0::A-N5232A-20122.local::hislip0::INSTR,0,169.254.70.180,,,
RFSwitch,SWITCH,GPIB0::29::INSTR,1,,,,
