Asset Number,Security Label Number,Manufacturer,Model Number,Calibration Required (Yes/No),Type,Description,Location or User,Owner / Loan,Provided By,Serial Number,Last Cal Date,Calibration Due Date,Remind(d),Keysight Cal Entitlement Expires,Keysight Warranty Expires,Calibration Interval
,,Anritsu,37369C,Yes,,VNA,REPAIR(LOW)?,,,E15539,1/1/2001,1/1/2001,45,N/A,N/A,
,12989,AstroAI,DM6000AR,Yes,,DMM,LOWELL,RaGE Systems,,2125220590,1/1/2001,1/1/2001,45,N/A,N/A,
,12990,AstroAI,DM6000AR,Yes,,DMM,LOWELL,RaGE Systems,,2125219987,1/1/2001,1/1/2001,45,N/A,N/A,
RGA20-0121,,Keithly,2000,Yes,LAB-DC,DMM,LOWELL,RaGE Systems,Purchased,727501,1/1/2001,1/1/2001,45,N/A,N/A,
RGA20-0123,,Keithly,2000,Yes,LAB-DC,DMM,LOWELL,RaGE Systems,Purchased,822794,1/1/2001,1/1/2001,45,N/A,N/A,
,12937,Keithly,2000,Yes,Keithley 2000 Multimeters ,DMM,LOWELL,RaGE Systems,,735571,9/25/2019,9/25/2020,45,N/A,N/A,
,13071,Keithly,2700,No,LAB-DC,DAQ,LOWELL,RaGE Systems,,,Cal Not Required,Cal Not Required,45,N/A,N/A,
RGA19-0071,12928,Keysight,E5052A,Yes,LAB-RF,Signal Source Analyzer,LOWELL,RaGE Systems (PRF),PRF,MY44200746,1/1/2001,1/1/2001,45,N/A,N/A,
RGA19-0078,12944,Keysight,8720ES,Yes,LAB-RF,VNA,LOWELL,RaGE Systems,Ks MVO -ebay,US39173304,8/28/2017,8/28/2018,45,N/A,N/A,1y
RGA20-0130,,Keysight,U2022XA,Yes,LAB-RF,Power Meter,WAM-PROD,RaGE Systems,Keysight,MY58240013,1/30/2025,1/30/2026,45,N/A,TBD,1y
RGA20-0150,,Keysight,N4692A,Yes,LAB-RF,E-Cal Module,WAM-PROD,RaGE Systems,Purchased,MY62230410,1/31/2025,1/31/2027,45,N/A,N/A,1y
RGA21-0195,,Keysight,N5173B,Yes,LAB-RF,Signal Generator,REPAIR(HAYES),RaGE Systems,Purchased,MY53271104,1/30/2025,1/30/2028,45,N/A,1/19/2020,3y
RGA21-0224,,Keysight,N5232B ,Yes,LAB-RF,PNA,WAM ATE-1,RaGE Systems,Purchased,MY52221531,5/6/2026,5/6/2027,45,N/A,N/A,1y
RGA21-0226,,Keysight,N9010B,No,LAB-RF,Spectrum Analyzer,WAM ATE-2,RaGE Systems,Purchased,MY57470396,5/6/2026,5/6/2028,45,N/A,4/10/2025,2y
RGA21-0197,12943,Keysight,N5182A,Yes,LAB-RF,Signal Generator,LOWELL,RaGE Systems,Purchased,MY48180752,9/29/2020,9/29/2023,45,11/30/2024,11/30/2023,3y
RGA21-0196,,Keysight,N9010B,Yes,LAB-RF,Spectrum Analyzer,WAM ATE-1,RaGE Systems,Purchased,MY57110230,4/16/2025,4/16/2027,45,7/23/2024,7/23/2024,2y
RGA21-0223,12941,Keysight,N9020A,Yes,LAB-RF,Spectrum Analyzer,LOWELL,Interlligent (Rental),Rent2Own,MY49100234,4/8/2021,4/8/2023,45,N/A,N/A,2y
RGA21-0222,,Keysight,N5173B,Yes,LAB-RF,Signal Generator,WAM ATE-1,RaGE Systems,Purchased,MY53270534 ,3/24/2025,3/24/2028,45,7/19/2020,1/19/2021,3y
RGA21-0225,,Keysight,N5232A,Yes,LAB-RF,PNA,REPAIR(HAYES),RaGE Systems,Purchased,US52120122,3/28/2025,3/28/2026,45,6/6/2019,6/8/2019,1y
RGA20-0149,12945,Keysight,N5224B,Yes,LAB-RF,PNA-X,NBPT,RaGE Systems,Purchased,MY55441806,11/19/2019,11/19/2021,45,2/11/2026,2/11/2026,2y
N/A,,Keysight,E4447A,Yes,LAB-RF,Spectrum Analyzer,NBPT,LEIDOS,Loaner,MY9420095,1/1/2001,1/1/2002,45,N/A,N/A,1y
RGA18-0064,12942,Keysight / Agilent,E4433B,Yes,LAB-RF,Signal Generator,LOWELL,RaGE Systems,Ebay,US40051660,11/12/2009,11/12/2010,45,,,2y
RGA18-0006,12935,Keysight / Agilent,34401A,Yes,LAB-DC,DMM,LOWELL,RaGE Systems,Ebay,MY44006486,N/A,N/A,45,,,
RGA18-0065,12914,Keysight / HP,E4405B,Yes,LAB-RF,Spectrum Analyzer,LOWELL,RaGE Systems,Ebay,US39440417,2/12/2010,2/12/2011,45,,,1y
RGA19-0072,,MINI - CIRCUITS,PWR-6GHS,Yes,LAB-RF,Power Meter,LOWELL,RaGE Systems,PRF,11807080018,TBD,TBD,45,,,1y
RGA19-0088,,National Instruments,USB-TC01,No,LAB-Test,Thermocouple,LOWELL,RaGE Systems,Purchased,N/A,N/A,N/A,45,,,
RGA18-0057,13072,Omega,TCIC,No,LAB-Test,Thermocouple,LOWELL,RaGE Systems,Purchased,N/A,N/A,N/A,45,,,
RGA20-0104,,Vaunix,LPS-802,No,LAB-Test,Vaunix Lab Brick LPS-802 4 – 8 GHz USB Programmable Phase Shifter,LOWELL,RaGE Systems,Purchased,N/A,N/A,N/A,45,,,
RGA20-0105,12900,Vaunix,LDA-602,No,LAB-Test,Vaunix Lab Brick Digital Attenuator LDA-602,LOWELL,RaGE Systems,Purchased,N/A,N/A,N/A,45,,,
